YearM,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
201201,0,0.0505,0.053530788,0.113619985,0.0088,0.019877986,0.0283,0.0223,0.064703647,0.027791973
201202,0,0.0442,0.057686673,0.0600848,-0.0002,-0.010479614,0.0226,0.0606,-0.006641861,0.020578582
201203,0,0.0311,-0.004042438,-0.033269057,-0.0055,-0.011100804,-0.001,-0.0235,0.043932159,-0.001776258
201204,0,-0.0085,-0.018419711,-0.01167299,0.0111,0.015681186,0.0103,-0.0051,0.027994542,-0.005121342
201205,0,-0.0619,-0.113631902,-0.111725693,0.0089,-0.014507758,-0.0117,-0.1299,-0.03958893,-0.026205297
201206,0,0.0389,0.07049598,0.039064968,0.0004,0.00293617,0.02,0.012,0.05883938,0.002878102
201207,0,0.0079,0.011462897,0.020226894,0.0138,0.011336562,0.0196,0.0637,0.022963764,0.008656821
201208,0,0.0255,0.026862602,-0.002990135,0.0006,0.009862276,0.0117,0.0636,0.004482769,0.008128982
201209,0,0.0273,0.029834197,0.060439728,0.0013,0.018362617,0.0135,-0.0143,-0.009019261,0.012994255
201210,0,-0.0176,0.008301421,-0.006063649,0.0019,-0.008108622,0.0086,-0.0408,-0.003439866,-0.003911033
201211,0,0.0078,0.024161225,0.012669551,0.0015,-0.004657252,0.0071,0.0147,-0.006507721,0.003954172
201212,0,0.0118,0.032018038,0.048915472,-0.0015,-0.011378537,0.0156,-0.0066,0.031862815,0.014307217
201301,0,0.0557,0.052924482,0.013942874,-0.007,-0.016712152,0.0135,0.0436,0.042829905,0.025134145
201302,0,0.0129,-0.009234708,-0.012419783,0.005,-0.018321587,0.0047,-0.0439,0.012942457,0.00109451
201303,0,0.0403,0.008755849,-0.017006952,0.0008,-0.004701622,0.0099,0.0077,0.032920596,0.009480967
201304,0,0.0155,0.05330435,0.0079291,0.0101,0.010836086,0.019,-0.0473,0.058019341,0.006334067
201305,0,0.028,-0.023056036,-0.025184897,-0.0178,-0.041727187,-0.0055,-0.0149,-0.065610148,0.004791819
201306,0,-0.012,-0.035293858,-0.063186143,-0.0155,-0.004629553,-0.0268,0.0023,-0.022754117,-0.014683513
201307,0,0.0565,0.052844852,0.010989229,0.0014,0.018736758,0.0191,0.0491,0.005266652,0.012952641
201308,0,-0.0271,-0.013119928,-0.016781642,-0.0051,-0.003363229,-0.0061,0.0338,-0.062312002,-0.006961675
201309,0,0.0377,0.074158496,0.06534773,0.0095,0.025594627,0.0101,-0.0339,0.03546919,0.015771837
201310,0,0.0418,0.033641436,0.048731452,0.0081,0.010872502,0.0246,-0.0144,0.040615843,0.015061063
201311,0,0.0312,0.007827809,-0.014544319,-0.0037,-0.01496973,0.0043,-0.0078,-0.044092198,0.008850657
201312,0,0.0281,0.015119653,-0.014376564,-0.0057,-0.009657903,0.0057,0.0193,0.008420416,0.010493093
201401,0,-0.0332,-0.040180829,-0.064712937,0.0148,0.013411135,0.0074,-0.0164,0.033769892,-0.005375305
201402,0,0.0465,0.05585441,0.03333623,0.0053,0.01795769,0.0201,0.0451,0.046874606,0.019651747
201403,0,0.0043,-0.005657116,0.030920479,-0.0017,-0.000734386,0.0022,0.0014,0.003247327,-0.002948914
201404,0,-0.0019,0.015290414,0.003722776,0.0084,0.013541406,0.0066,0.0074,0.028821074,-0.002152424
